"Tabela"|"Coluna"|"Tipo"|"Aceita Nulo"|"Chave"|"Valor Padrão"|"Extra"|"Comentário"
brands|id|int(11)|NO|PRI||auto_increment|""
brands|nome|varchar(255)|NO|""||""|""
brands|ativo|tinyint(1)|NO|""|"1"|""|""
cash_entries|id|int(11)|NO|PRI||auto_increment|""
cash_entries|origem|varchar(255)|NO|""||""|""
cash_entries|id_origem|int(11)|YES|""|NULL|""|""
cash_entries|forma|enum('pix','cartao','dinheiro','boleto','transferencia','outros')|NO|""||""|""
cash_entries|valor|decimal(10,2)|NO|""||""|""
cash_entries|data|date|NO|""||""|""
cash_entries|created_at|timestamp|NO|""|current_timestamp()|""|""
categories|id|int(11)|NO|PRI||auto_increment|""
categories|nome|varchar(255)|NO|""||""|""
categories|ativo|tinyint(1)|NO|""|"1"|""|""
channels|id|int(11)|NO|PRI||auto_increment|""
channels|nome|varchar(255)|NO|""||""|""
channels|ativo|tinyint(1)|NO|""|"1"|""|""
commissions|id|int(11)|NO|PRI||auto_increment|""
commissions|order_id|int(11)|NO|MUL||""|""
commissions|seller_id|int(11)|NO|MUL||""|""
commissions|base_calculo|decimal(10,2)|NO|""||""|""
commissions|perc|decimal(5,2)|NO|""||""|""
commissions|valor|decimal(10,2)|NO|""||""|""
commissions|status|enum('a_apurar','liberada','paga')|NO|""|'a_apurar'|""|""
commissions|created_at|timestamp|NO|""|current_timestamp()|""|""
customers|id|int(11)|NO|PRI||auto_increment|""
customers|nome|varchar(255)|NO|""||""|""
customers|telefone|varchar(20)|YES|""|NULL|""|""
customers|cidade|varchar(255)|YES|""|NULL|""|""
customers|raquete_entrada_bool|tinyint(1)|NO|""|"0"|""|""
customers|raquete_entrada_produto_id|int(11)|YES|MUL|NULL|""|""
customers|created_at|timestamp|NO|""|current_timestamp()|""|""
fulfillments|id|int(11)|NO|PRI||auto_increment|""
fulfillments|order_id|int(11)|NO|MUL||""|""
fulfillments|status|enum('preparando','enviado','entregue')|NO|""|'preparando'|""|""
fulfillments|transportadora|varchar(255)|YES|""|NULL|""|""
fulfillments|codigo_rastreio|varchar(255)|YES|""|NULL|""|""
fulfillments|enviado_em|datetime|YES|""|NULL|""|""
fulfillments|entregue_em|datetime|YES|""|NULL|""|""
fulfillments|observacoes|text|YES|""|NULL|""|""
fulfillments|created_at|timestamp|NO|""|current_timestamp()|""|""
fulfillments|updated_at|timestamp|NO|""|current_timestamp()|on update current_timestamp()|""
inventory_moves|id|int(11)|NO|PRI||auto_increment|""
